Customer_ID,Age,Annual_Income,Spending_Score,Credit_Limit,Balance,Purchase_Frequency,Avg_Transaction_Value,Customer_Tenure_Years,Credit_Utilization_Ratio,Days_Since_Last_Transaction,Revolving_Utilization,Payments,Product_Category,Payment_Status,Account_Type
1,52,84505,61,35473,2130,6,497.62,11,0.92,167,0.82,4753,Food,Delayed,Gold
2,42,26570,3,15743,6921,6,484.11,8,0.3,122,0.02,2734,Travel,Delayed,Standard
3,54,37461,5,14108,13519,8,288.85,8,0.43,51,0.43,1341,Electronics,Delayed,Gold
4,67,53143,89,27057,20294,8,384.25,7,0.39,165,0.84,2905,Travel,On-Time,Standard
5,41,63710,79,18912,7368,6,256.24,1,0.38,165,0.43,2235,Fashion,On-Time,Standard
6,41,117030,71,14918,962,7,148.8,20,0.58,11,0.1,9435,Travel,On-Time,Gold
7,68,28482,91,16436,12472,3,382.58,17,0.67,124,0.56,4432,Home,Delayed,Standard
8,56,60703,15,14315,7893,4,251.78,16,0.4,41,0.39,1534,Food,On-Time,Standard
9,37,113120,37,6646,15617,2,439.76,12,0.81,49,0.31,4630,Fashion,On-Time,Gold
10,53,63004,48,32504,4779,8,437.21,19,0.59,0,0.86,3560,Electronics,On-Time,Platinum
11,38,93416,60,23907,474,4,481.24,13,0.27,63,0.44,802,Food,On-Time,Gold
12,38,69418,64,7114,20985,6,364.3,14,0.37,3,0.2,2200,Home,On-Time,Gold
13,48,85271,82,31997,6686,5,271.58,16,0.96,128,0.1,3756,Travel,On-Time,Standard
14,18,65861,49,21416,3660,6,302.41,2,0.6,41,0.93,2680,Travel,Delayed,Standard
15,19,101682,16,18306,5212,7,211.47,20,0.5,23,0.71,4999,Fashion,On-Time,Standard
16,36,20000,27,24237,19872,3,346.74,9,0.25,20,0.12,4363,Fashion,Late,Standard
17,29,60467,43,16516,26052,5,91.5,12,0.53,164,0.07,5770,Food,Delayed,Standard
18,49,86862,11,9475,4472,0,496.24,9,0.08,17,0.54,4300,Fashion,Late,Gold
19,31,96347,69,15687,8636,4,78.42,15,0.4,171,0.35,-876,Food,On-Time,Standard
20,23,134718,70,19414,12252,8,321.18,11,0.87,2,0.61,4448,Home,Late,Standard
21,66,59359,71,12801,0,5,180.79,13,0.43,156,0.64,6179,Travel,Late,Standard
22,41,134179,2,24069,6424,7,419.98,2,0.84,129,0.33,4440,Travel,On-Time,Platinum
